domain horizontal_resolution gcm_model rcm_model
europe 0_11_degree_x_0_11_degree mpi_m_mpi_esm_lr mpi_csc_remo2009
europe 0_11_degree_x_0_11_degree cccma_canesm2 clmcom_clm_cclm4_8_17
europe 0_11_degree_x_0_11_degree ichec_ec_earth ictp_regcm4_6
europe 0_11_degree_x_0_11_degree cnrm_cerfacs_cm5 cnrm_aladin63
europe 0_11_degree_x_0_11_degree ipsl_cm5a_mr dmi_hirham5
europe 0_11_degree_x_0_11_degree mohc_hadgem2_es knmi_racmo22e
europe 0_11_degree_x_0_11_degree ncc_noresm1_m smhi_rca4
europe 0_11_degree_x_0_11_degree miroc_miroc5 uhoh_wrf361h
europe 0_11_degree_x_0_11_degree mpi_m_mpi_esm_lr dmi_hirham5
europe 0_11_degree_x_0_11_degree ichec_ec_earth ipsl_wrf381p
africa 0_22_degree_x_0_22_degree mpi_m_mpi_esm_lr clmcom_kit_cclm5_0_15
africa 0_22_degree_x_0_22_degree cccma_canesm2 cccma_canrcm4
africa 0_22_degree_x_0_22_degree mohc_hadgem2_es ictp_regcm4_7
africa 0_22_degree_x_0_22_degree mpi_m_mpi_esm_mr ictp_regcm4_7
africa 0_22_degree_x_0_22_degree ncc_noresm1_m gerics_remo2015
africa 0_22_degree_x_0_22_degree ncc_noresm1_m ictp_regcm4_7
africa 0_22_degree_x_0_22_degree ncc_noresm1_m clmcom_kit_cclm5_0_15
africa 0_22_degree_x_0_22_degree mpi_m_mpi_esm_lr clmcom_kit_cclm5_0_15
africa 0_22_degree_x_0_22_degree mpi_m_mpi_esm_lr gerics_remo2015
africa 0_22_degree_x_0_22_degree mohc_hadgem2_es clmcom_kit_cclm5_0_15
